Elapsed time,HTTP Request (failure),HTTP Request (success)
06:47:38.0,,53.0
06:47:39.0,,91.0
06:47:40.0,,75.0
06:47:41.0,,53.0
06:47:42.0,,75.0
06:47:43.0,,70.0
06:47:44.0,,65.0
06:47:45.0,,51.0
06:47:46.0,,76.0
06:47:47.0,,59.0
06:47:48.0,,66.0
06:47:49.0,,49.0
06:47:50.0,,54.0
06:47:51.0,,64.0
06:47:52.0,,49.0
06:47:53.0,,44.0
06:47:54.0,,58.0
06:47:55.0,,65.0
06:47:56.0,,70.0
06:47:57.0,,61.0
06:47:58.0,,57.0
06:47:59.0,,71.0
06:48:00.0,,64.0
06:48:01.0,1.0,73.0
06:48:02.0,2.0,58.0
06:48:03.0,,59.0
06:48:04.0,1.0,73.0
06:48:05.0,,28.0
06:48:06.0,,102.0
06:48:07.0,,63.0
06:48:08.0,,72.0
06:48:09.0,3.0,50.0
06:48:10.0,8.0,81.0
06:48:11.0,,55.0
06:48:12.0,,79.0
06:48:13.0,,72.0
06:48:14.0,,45.0
06:48:15.0,9.0,34.0
06:48:16.0,23.0,52.0
06:48:17.0,33.0,15.0
06:48:18.0,29.0,21.0
06:48:19.0,19.0,60.0
06:48:20.0,,71.0
06:48:21.0,1.0,69.0
06:48:22.0,,59.0
06:48:23.0,,49.0
06:48:24.0,,83.0
06:48:25.0,,64.0
06:48:26.0,,8.0
06:48:27.0,,79.0
06:48:28.0,,33.0
06:48:29.0,,69.0
06:48:30.0,2.0,73.0
06:48:31.0,,71.0
06:48:32.0,15.0,78.0
06:48:33.0,3.0,15.0
06:48:34.0,15.0,18.0
06:48:35.0,56.0,49.0
06:48:36.0,6.0,65.0
06:48:37.0,,61.0
06:48:38.0,3.0,45.0
06:48:39.0,,69.0
06:48:40.0,,33.0
06:48:41.0,,46.0
06:48:42.0,,31.0
06:48:43.0,47.0,6.0
